2026-03-18 16:19:47,449 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/1_Pooling/config.json "HTTP/1.1 307 Temporary Redirect"
2026-03-18 16:19:47,493 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/1_Pooling%2Fconfig.json "HTTP/1.1 200 OK"
2026-03-18 16:19:47,783 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/sentence-transformers/all-MiniLM-L6-v2 "HTTP/1.1 200 OK"
2026-03-18 16:19:47,847 | INFO | vectordb | Initialized new FAISS index with dimension 384
2026-03-18 16:19:47,851 | INFO | vectordb | Indexed 1 new chunks. Total chunks: 1
2026-03-18 16:19:47,851 | INFO | rag | Ingested 1 chunks from 7912a25dbd7d4bbfb7ed8b1d5e1885b4_sample.pdf
2026-03-18 16:19:47,859 | INFO | main | Completed request: POST /upload -> 200
2026-03-18 16:19:47,861 | INFO | httpx | HTTP Request: POST http://testserver/upload "HTTP/1.1 200 OK"
2026-03-18 16:19:47,862 | INFO | main | Incoming request: POST /chat
2026-03-18 16:19:47,864 | INFO | graph | Query classified as knowledge_lookup
2026-03-18 16:19:47,890 | INFO | vectordb | Retrieved 1 chunks for query
2026-03-18 16:19:47,890 | INFO | graph | Context length after retrieval: 109
2026-03-18 16:19:48,712 | ERROR | llm | Mistral API request failed: 401 Client Error: Unauthorized for url: https://api.mistral.ai/v1/chat/completions
2026-03-18 16:19:48,716 | INFO | main | Completed request: POST /chat -> 200
2026-03-18 16:19:48,716 | INFO | httpx | HTTP Request: POST http://testserver/chat "HTTP/1.1 200 OK"
2026-03-18 16:19:48,718 | INFO | main | Application shutdown complete
2026-03-18 16:32:46,437 | INFO | main | Application startup complete
2026-03-18 16:32:46,440 | INFO | main | Incoming request: POST /chat
2026-03-18 16:32:46,442 | INFO | graph | Query classified as knowledge_lookup
2026-03-18 16:32:46,442 | INFO | embeddings | Loading embedding model: sentence-transformers/all-MiniLM-L6-v2
2026-03-18 16:32:46,444 | INFO | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-03-18 16:32:46,444 | INFO | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2026-03-18 16:32:47,201 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json "HTTP/1.1 307 Temporary Redirect"
2026-03-18 16:32:47,238 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/modules.json "HTTP/1.1 200 OK"
2026-03-18 16:32:47,490 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json "HTTP/1.1 307 Temporary Redirect"
2026-03-18 16:32:47,530 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config_sentence_transformers.json "HTTP/1.1 200 OK"
2026-03-18 16:32:47,785 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json "HTTP/1.1 307 Temporary Redirect"
